x,yz,label
2368,8.59,1
2112,9.1,1
2048,7.75,0
1968,8.21,3
2208,7.39,0
2320,7.39,0
1968,7.72,3
2592,8.57,1
2448,11.64,1
1936,9.14,3
2624,6.31,0
2352,7.05,0
1984,7.51,3
2624,7.15,0
2320,7.27,0
2736,7.48,0
2576,7.54,0
1936,7.92,3
2016,7.97,0
2144,8.06,1
2320,8.04,1
2176,8.01,1
1712,7.82,3
2560,7.45,0
2704,8.28,1
1952,8.16,3
2688,8.18,1
2176,7.8,0
1984,7.82,3
2320,7.32,0
2416,6.21,0
2480,7.15,0
2352,14.19,1
1984,14.16,3
2000,8.13,1
