x,y,z,label
1984,23.11,15.33,3
2480,20.15,13.56,3
1920,30.09,13.93,3
1888,23.85,15.12,3
1920,27.29,20.91,3
2496,63.28,19.93,3
1984,29.66,19.33,3
1872,-0.02,39.26,3
1952,28.38,19.02,3
1952,25.19,16.72,3
2688,30.7,20.05,3
2256,32.29,21.08,3
2448,28.93,39.21,3
1968,21.56,15.26,3
2176,20.33,14.81,3
2448,28.08,-0.02,3
2480,-0.02,19.9,3
2208,-0.02,21.34,3
2176,24.52,16.19,3
2096,20.27,14.81,3
2240,23.21,17.04,3
2624,28.02,20.03,3
1936,31.51,19.42,3
1840,-0.02,21.7,3
2640,31.62,40.24,3
2144,30.81,22.47,3
2304,31.43,22.84,3
2000,29.16,23.26,3
2000,33.33,26.63,3
2688,30.7,25.79,3
2496,32.77,41.87,3
1888,29.52,-0.02,3
2176,31.62,-0.02,3
1952,30.81,-0.02,3
2496,27.04,-0.02,3
2192,29.47,-0.02,3
1872,27.51,-0.02,3
2720,29.83,-0.02,3
2432,-0.02,-0.02,3
2208,28.88,-0.02,3
2336,31.82,-0.02,3
2672,31.44,-0.02,3
2224,30.64,-0.02,3
1920,27.41,19.62,3
1920,27.59,20.41,3
2320,27.63,17.92,3
2112,34.97,17.89,3
2592,28.44,18.28,3
2192,-0.02,17.92,3
2528,28.63,18.4,3
2080,28.32,17.39,3
2288,32.39,18.75,3
2592,29.35,19.64,3
1936,30.96,17.8,3
